drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Fidaxomicin,Amitriptyline,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2969,MEDIUM
Posaconazole,Methylprednisolone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Naratriptan,Zonisamide,None,None,None,P-glycoprotein (P-gp),Dizziness,1,0.2699,MEDIUM
Benazepril,Levalbuterol,None,None,None,None,None,0,0.0669,LOW
Albuterol,Liraglutide,None,None,None,None,None,0,0.0666,LOW
Fluvastatin,Clarithromycin,None,None,None,None,None,0,0.0191,LOW
Sotagliflozin,Furosemide,None,None,None,None,None,0,0.0588,LOW
Trandolapril,Phenytoin,None,None,None,None,None,0,0.0538,LOW
Nelfinavir,Olanzapine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Felodipine,Candethartan,CYP3A4,None,None,None,Dizziness,1,0.5545,HIGH
Isavuconazole,Indapamide,None,None,None,None,None,0,0.0603,LOW
Eprosartan,Tamsulosin,CYP3A4,None,None,None,Dizziness,1,0.5807,HIGH
Zolmitriptan,Clozapine,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.5251,HIGH
Citalopram,Gliclazide,None,None,None,None,None,0,0.024,LOW
Pravastatin,Darunavir,None,None,None,None,None,0,0.0698,LOW
Diclofenac,Linagliptin,None,None,None,None,None,0,0.0726,LOW
Clarithromycin,Zolmitriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1206,LOW
Clevidipine,Ziprasidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.501,HIGH
Perindopril,Glyburide,None,None,None,None,None,0,0.0579,LOW
Labetalol,Albuterol,None,Beta-2 adrenergic receptor,None,None,None,1,0.1,LOW
Fluoxetine,Carbamazepine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4691,MEDIUM
Fluvoxamine,Phenytoin,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5362,HIGH
Celecoxib,Azilsartan,CYP2C9,None,None,None,None,1,0.3941,MEDIUM
Ritonavir,Famotidine,None,None,None,None,None,0,0.0393,LOW
Telmisartan,Cariprazine,CYP3A4,None,None,None,None,1,0.4063,MEDIUM
Atorvastatin,Azithromycin,None,None,None,None,None,0,0.0182,LOW
Rabeprazole,Felodipine,CYP3A4,None,None,P-glycoprotein (P-gp),Headache,1,0.6457,HIGH
Ofloxacin,Fludrocortisone,None,None,None,None,None,0,0.076,LOW
Norfloxacin,Bumetanide,None,None,None,OAT3,None,0,0.1373,LOW
Metoprolol,Olmesartan,None,None,None,None,None,0,0.0554,LOW
Posaconazole,Ziprasidone,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.2469,LOW
Nadolol,Tolbutamide,None,None,None,None,None,0,0.0365,LOW
Omeprazole,Liraglutide,None,None,None,None,None,0,0.0492,LOW
Simvastatin,Tolbutamide,None,None,None,OATP1B1,None,1,0.1,LOW
Dabigatran,Zonisamide,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5131,HIGH
Dexlansoprazole,Timolol,None,None,None,P-glycoprotein (P-gp),None,1,0.1344,LOW
Empagliflozin,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.1075,LOW
Diclofenac,Bumetanide,None,None,None,OAT1;OAT3,None,0,0.1,LOW
Nifedipine,Aripiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.512,HIGH
Azithromycin,Prazosin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Amlodipine,Fludrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4712,MEDIUM
Citalopram,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Nelfinavir,Triazolam,None,None,None,P-glycoprotein (P-gp),None,0,0.1089,LOW
Fondaparinux,Ketoconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1227,LOW
Clarithromycin,Levalbuterol,None,None,None,None,None,0,0.056,LOW
Tolbutamide,Nabumetone,CYP2C9,None,None,None,None,1,0.3845,MEDIUM
Esmolol,Tamsulosin,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4541,MEDIUM
Nebivolol,Tamsulosin,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4912,MEDIUM
Fosinopril,Metformin,None,None,None,None,None,0,0.0427,LOW
Piroxicam,Clozapine,None,None,None,None,None,0,0.0415,LOW
Ketoconazole,Rizatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Simvastatin,Budesonide,CYP3A4,None,None,None,None,1,0.4382,MEDIUM
Nebivolol,Nadolol,CYP2D6,Beta-1 adrenergic receptor;Beta-2 adrenergic receptor,Adrenergic signaling pathway,P-glycoprotein (P-gp),Bronchospasm;Bradycardia;Cold extremities;Insomnia;Fatigue,1,0.9394,CRITICAL
Methylprednisolone,Diazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4681,MEDIUM
Moexipril,Sumatriptan,None,None,None,None,None,0,0.0136,LOW
Prednisone,Fludrocortisone,CYP3A4,Glucocorticoid receptor,Glucocorticoid receptor signaling pathway,P-glycoprotein (P-gp),Hyperglycemia;Cushings features;Osteoporosis;Immunosuppression;Weight gain,1,0.9971,CRITICAL
Ketorolac,Candethartan,CYP2C9,None,None,None,None,1,0.4023,MEDIUM
Trandolapril,Valproate,None,None,None,None,None,0,0.0792,LOW
Quinapril,Doxepin,None,None,None,None,None,0,0.0496,LOW
Nimodipine,Cimetidine,None,None,None,None,Dizziness;Headache,1,0.1607,LOW
Isavuconazole,Indinavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,0,0.2265,LOW
Almotriptan,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,1,0.1441,LOW
Propranolol,Protriptyline,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4628,MEDIUM
Perindopril,Rabeprazole,None,None,None,None,None,0,0.0348,LOW
Chlordiazepoxide,Clozapine,CYP3A4,None,None,P-glycoprotein (P-gp),Sedation,1,0.6769,HIGH
Oxcarbazepine,Risperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.496,MEDIUM
Dexlansoprazole,Temazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5381,HIGH
Carbamazepine,Liraglutide,None,None,None,None,None,0,0.0627,LOW
Olmesartan,Cimetidine,None,None,None,None,Dizziness,0,0.1574,LOW
Carbamazepine,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4908,MEDIUM
Ketorolac,Zolmitriptan,None,None,None,None,None,0,0.0763,LOW
Captopril,Topiramate,None,None,None,None,None,0,0.0704,LOW
Chlordiazepoxide,Semaglutide,None,None,None,None,None,0,0.0144,LOW
Indinavir,Carbamazepine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Nisoldipine,Hydrocortisone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5283,HIGH
Enalapril,Benazepril,Not significantly metabolized by CYP (renal elimination),Angiotensin-converting enzyme (ACE),Renin-angiotensin-aldosterone system (RAAS),PEPT2;PEPT1,Hyperkalemia;Hypotension;Angioedema;Dry cough,1,0.9344,CRITICAL
Moexipril,Prednisone,None,None,None,None,None,0,0.0447,LOW
Lovastatin,Sertraline,None,None,None,None,None,0,0.0723,LOW
Nicardipine,Eletriptan,None,None,None,P-glycoprotein (P-gp),Dizziness;Flushing,0,0.2976,MEDIUM
Propranolol,Ranitidine,None,None,None,None,None,0,0.0746,LOW
Eprosartan,Saquinavir,None,None,None,None,None,0,0.0676,LOW
Delafloxacin,Cariprazine,None,None,None,None,QTc prolongation,1,0.1103,LOW
Fidaxomicin,Quetiapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2584,MEDIUM
Isradipine,Citalopram,None,None,None,P-glycoprotein (P-gp),None,0,0.1421,LOW
Saxagliptin,Alogliptin,CYP3A4 (sitagliptin/saxagliptin),Dipeptidyl peptidase 4 (DPP-4),Incretin hormone pathway,P-glycoprotein (P-gp),Pancreatitis risk;Headache;Joint pain;Nasopharyngitis,1,1.0,CRITICAL
Sumatriptan,Bumetanide,None,None,None,None,None,0,0.0541,LOW
Etidronate,Linagliptin,None,None,None,None,None,0,0.0304,LOW
Ofloxacin,Rivaroxaban,None,None,None,None,None,0,0.0225,LOW
Bumetanide,Indapamide,Not significantly metabolized,Na-Cl cotransporter (NCC);Na-K-2Cl cotransporter (NKCC2),Renal electrolyte handling pathway,OAT1;OAT3;OAT4,Ototoxicity (loops);Hyponatremia;Hypokalemia;Hyperuricemia;Dehydration,1,0.9931,CRITICAL
Lisinopril,Rivaroxaban,None,None,None,None,None,0,0.0562,LOW
Dapagliflozin,Fondaparinux,None,None,None,P-glycoprotein (P-gp);BCRP,None,1,0.1,LOW
Tolbutamide,Lorazepam,None,None,None,None,None,0,0.078,LOW
Carbamazepine,Semaglutide,None,None,None,None,None,0,0.0429,LOW
Telmisartan,Warfarin,CYP2C9;CYP3A4,None,None,BCRP,None,1,0.6,HIGH
Captopril,Nifedipine,None,None,None,None,None,0,0.0474,LOW
Pantoprazole,Dapagliflozin,None,None,None,P-glycoprotein (P-gp),None,0,0.1307,LOW
Dabigatran,Imipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1381,LOW
Enalapril,Alfuzosin,None,None,None,None,None,0,0.0286,LOW
Simvastatin,Lacosamide,CYP3A4,None,None,None,None,1,0.3517,MEDIUM
Ertugliflozin,Metolazone,None,None,None,None,None,0,0.0159,LOW
Eletriptan,Levalbuterol,None,None,None,None,None,0,0.042,LOW
Norfloxacin,Saquinavir,None,None,None,None,None,0,0.0512,LOW
Rizatriptan,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Carbamazepine,Oxazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5982,HIGH
Carvedilol,Canagliflozin,None,None,None,P-glycoprotein (P-gp),None,1,0.1353,LOW
Esomeprazole,Semaglutide,None,None,None,None,None,0,0.0176,LOW
Chlorpropamide,Sitagliptin,None,None,None,None,None,0,0.0763,LOW
Fosinopril,Diclofenac,None,None,None,None,None,0,0.0765,LOW
Rivaroxaban,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1045,LOW
Atorvastatin,Metolazone,None,None,None,None,None,0,0.0134,LOW
Amlodipine,Risperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5038,HIGH
Tolbutamide,Aripiprazole,None,None,None,None,None,0,0.0214,LOW
Lansoprazole,Fidaxomicin,None,None,None,P-glycoprotein (P-gp),None,0,0.1054,LOW
Zolmitriptan,Torsemide,None,None,None,None,None,0,0.0762,LOW
Voriconazole,Terazosin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Benazepril,Budesonide,None,None,None,None,None,0,0.0252,LOW
Ibandronate,Ranitidine,None,None,None,None,None,0,0.0341,LOW
Chlorpropamide,Ibandronate,None,None,None,None,None,0,0.0686,LOW
Tamsulosin,Risperidone,CYP2D6;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5564,HIGH
Clarithromycin,Fidaxomicin,CYP3A4 (inhibitor),50S ribosomal subunit (23S rRNA),Bacterial protein synthesis,P-glycoprotein (P-gp),Gastrointestinal distress;QTc prolongation;Hepatotoxicity;Ototoxicity,1,0.9957,CRITICAL
Vildagliptin,Dulaglutide,None,None,None,None,None,0,0.0151,LOW
Ciprofloxacin,Chlorpropamide,None,None,None,None,None,0,0.0485,LOW
Esmolol,Sitagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Escitalopram,Phenytoin,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4947,MEDIUM
Pamidronate,Doxepin,None,None,None,None,None,0,0.0609,LOW
Ertugliflozin,Vildagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1043,LOW
Celecoxib,Voriconazole,None,None,None,None,None,0,0.0204,LOW
Rizatriptan,Hydrocortisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Cimetidine,Diazepam,None,None,None,None,None,0,0.0767,LOW
Ofloxacin,Gemifloxacin,CYP1A2 (inhibitor),DNA gyrase;Topoisomerase IV,Bacterial DNA replication,OAT3;MATE1,QTc prolongation;Tendon rupture;Dysglycemia;Aortic aneurysm risk,1,0.9751,CRITICAL
Ciprofloxacin,Telmisartan,None,None,None,None,None,0,0.0408,LOW
Telithromycin,Metolazone,None,None,None,None,None,0,0.077,LOW
Sumatriptan,Cimetidine,None,None,None,None,Dizziness,0,0.1786,LOW
Verapamil,Oxazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5231,HIGH
Olodaterol,Vildagliptin,None,None,None,None,None,0,0.0318,LOW
Nicardipine,Levofloxacin,None,None,None,None,None,0,0.0569,LOW
Chlorpropamide,Ertugliflozin,None,None,None,None,None,0,0.0107,LOW
Saquinavir,Risperidone,None,None,None,P-glycoprotein (P-gp),None,0,0.1172,LOW
Valproate,Famotidine,None,None,None,None,Dizziness,1,0.1186,LOW
Rosuvastatin,Naratriptan,None,None,None,None,None,0,0.0126,LOW
Bisoprolol,Timolol,CYP2D6,Beta-1 adrenergic receptor;Beta-2 adrenergic receptor,Adrenergic signaling pathway,P-glycoprotein (P-gp),Bronchospasm;Bradycardia;Cold extremities;Insomnia;Fatigue,1,0.9951,CRITICAL
Rivaroxaban,Oxcarbazepine,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5353,HIGH
Sotagliflozin,Ketoconazole,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Lansoprazole,Indomethacin,None,None,None,None,None,0,0.0337,LOW
Valsartan,Cariprazine,CYP3A4,None,None,None,None,1,0.3776,MEDIUM
Lurasidone,Liraglutide,None,None,None,None,None,0,0.0627,LOW
Nizatidine,Budesonide,None,None,None,None,None,0,0.0737,LOW
Warfarin,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Atorvastatin,Furosemide,None,None,None,None,None,0,0.0225,LOW
Benazepril,Eletriptan,None,None,None,None,None,0,0.0457,LOW
Fluvastatin,Norfloxacin,None,None,None,None,None,0,0.0181,LOW
Fondaparinux,Indapamide,None,None,None,None,None,0,0.0461,LOW
Valsartan,Clarithromycin,None,None,None,None,None,0,0.0799,LOW
Fluconazole,Zonisamide,None,None,None,P-glycoprotein (P-gp),None,0,0.1358,LOW
Eprosartan,Posaconazole,None,None,None,None,None,0,0.028,LOW
Azithromycin,Risperidone,None,None,None,P-glycoprotein (P-gp),QTc prolongation,1,0.2707,MEDIUM
Paroxetine,Clonazepam,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5369,HIGH
Pitavastatin,Clozapine,CYP3A4,None,None,None,None,1,0.3927,MEDIUM
Esmolol,Alfuzosin,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.4924,MEDIUM
Simvastatin,Posaconazole,None,None,None,None,None,0,0.0572,LOW
Glipizide,Tolbutamide,CYP2C9,Sulfonylurea receptor 1 (SUR1 / ABCC8),Insulin secretion pathway,OATP1B1,Weight gain;Hypoglycemia;Hypersensitivity reactions,1,0.9806,CRITICAL
Nebivolol,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,1,0.1035,LOW
Desipramine,Liraglutide,None,None,None,None,None,0,0.0757,LOW
Ibuprofen,Methylprednisolone,None,None,None,None,None,0,0.0325,LOW
Piroxicam,Cimetidine,None,None,None,None,None,0,0.0501,LOW
Indinavir,Vilanterol,None,None,None,None,None,0,0.075,LOW
Valsartan,Chlordiazepoxide,CYP3A4,None,None,None,None,1,0.3825,MEDIUM
Darunavir,Betamethasone,None,None,None,P-glycoprotein (P-gp),None,1,0.1482,LOW
Indapamide,Exenatide,None,None,None,None,None,0,0.0516,LOW
Erythromycin,Phenytoin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Oxcarbazepine,Metolazone,None,None,None,None,None,0,0.0551,LOW
Ketoconazole,Clozapine,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2378,LOW
Metoprolol,Moxifloxacin,None,None,None,None,None,0,0.0373,LOW
Indomethacin,Nelfinavir,None,None,None,None,None,0,0.0137,LOW
Ziprasidone,Semaglutide,None,None,None,None,None,0,0.0577,LOW
Ketoconazole,Naratriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1099,LOW
Amlodipine,Alogliptin,None,None,None,P-glycoprotein (P-gp),Headache,0,0.2084,LOW
Pamidronate,Oxcarbazepine,None,None,None,None,None,0,0.0332,LOW
Gemifloxacin,Lacosamide,None,None,None,None,None,0,0.0407,LOW
Ciprofloxacin,Posaconazole,None,None,None,None,QTc prolongation,1,0.1939,LOW
Lovastatin,Vilanterol,None,None,None,None,None,0,0.0339,LOW
Fosinopril,Levofloxacin,None,None,None,None,None,0,0.0147,LOW
Nisoldipine,Erythromycin,None,None,None,P-glycoprotein (P-gp),None,0,0.1393,LOW
Ofloxacin,Doxepin,None,None,None,None,QTc prolongation,0,0.1876,LOW
Naproxen,Nizatidine,None,None,None,None,None,0,0.06,LOW
Erythromycin,Fidaxomicin,CYP3A4 (inhibitor),50S ribosomal subunit (23S rRNA),Bacterial protein synthesis,P-glycoprotein (P-gp),Gastrointestinal distress;QTc prolongation;Hepatotoxicity;Ototoxicity,1,0.9808,CRITICAL
Triamcinolone,Olodaterol,None,None,None,None,None,0,0.0397,LOW
Paroxetine,Quetiapine,CYP2D6,None,None,P-glycoprotein (P-gp),None,1,0.5171,HIGH
Methylprednisolone,Amitriptyline,None,None,None,P-glycoprotein (P-gp),Weight gain,1,0.2956,MEDIUM
Quetiapine,Lixisenatide,None,None,None,None,None,0,0.0219,LOW
Meloxicam,Canagliflozin,None,None,None,None,None,0,0.0289,LOW
Amlodipine,Olodaterol,None,None,None,None,None,0,0.0547,LOW
Nicardipine,Desipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1332,LOW
Olmesartan,Triamcinolone,CYP3A4,None,None,None,None,1,0.4481,MEDIUM
Citalopram,Glyburide,None,None,None,None,None,0,0.0113,LOW
Rosuvastatin,Nabumetone,None,None,None,None,None,0,0.0348,LOW
Timolol,Sumatriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Rabeprazole,Imipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Esomeprazole,Nabumetone,None,None,None,None,None,0,0.0416,LOW
Chlorpropamide,Lopinavir,None,None,None,None,None,0,0.0597,LOW
Lansoprazole,Almotriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Etidronate,Methylprednisolone,None,None,None,None,None,0,0.0644,LOW
Atorvastatin,Nimodipine,CYP3A4,None,None,None,Headache,1,0.5386,HIGH
Olanzapine,Ziprasidone,CYP2D6;CYP3A4;CYP1A2,Serotonin 5-HT2A receptor;Dopamine D2 receptor,Dopaminergic and serotonergic neurotransmission pathways,P-glycoprotein (P-gp),QTc prolongation;Extrapyramidal symptoms;Metabolic syndrome;Hyperprolactinemia;Sedation,1,1.0,CRITICAL
Citalopram,Lopinavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1351,LOW
Fosinopril,Paliperidone,None,None,None,None,None,0,0.0485,LOW
Lacosamide,Temazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5667,HIGH
Itraconazole,Lorazepam,None,None,None,P-glycoprotein (P-gp),None,1,0.1213,LOW
Candethartan,Clozapine,CYP3A4,None,None,None,None,1,0.4333,MEDIUM
Fidaxomicin,Alprazolam,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Fluconazole,Amitriptyline,None,None,None,P-glycoprotein (P-gp),QTc prolongation,0,0.2227,LOW
Losartan,Nelfinavir,None,None,None,None,None,0,0.0254,LOW
Timolol,Delafloxacin,None,None,None,None,None,0,0.0428,LOW
Indacaterol,Lurasidone,None,None,None,None,None,0,0.0149,LOW
Moxifloxacin,Diclofenac,None,None,None,OAT3,None,1,0.1456,LOW
Fluvastatin,Clevidipine,CYP3A4,None,None,None,Headache,1,0.5692,HIGH
Fluoxetine,Norfloxacin,None,None,None,None,None,0,0.0569,LOW
Fludrocortisone,Cariprazine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4826,MEDIUM
Moxifloxacin,Candethartan,None,None,None,None,None,0,0.0569,LOW
Omeprazole,Glimepiride,None,None,None,None,None,0,0.0203,LOW
Atenolol,Fluoxetine,CYP2D6,None,None,P-glycoprotein (P-gp),Insomnia,1,0.6694,HIGH
Ramipril,Clonazepam,None,None,None,None,None,0,0.022,LOW
Tolbutamide,Alogliptin,None,None,None,None,None,0,0.0719,LOW
Losartan,Dapagliflozin,None,None,None,BCRP,None,0,0.1114,LOW
Lovastatin,Protriptyline,None,None,None,None,None,0,0.0764,LOW
Telmisartan,Salmeterol,None,None,None,None,None,0,0.0541,LOW
Perindopril,Levofloxacin,None,None,None,None,None,0,0.0602,LOW
Zoledronic acid,Risperidone,None,None,None,None,None,0,0.0381,LOW
Piroxicam,Torsemide,None,None,None,OAT1;OAT3,None,1,0.1,LOW
Tolbutamide,Albuterol,None,None,None,None,None,0,0.0342,LOW
Rabeprazole,Gliclazide,None,None,None,None,None,0,0.0414,LOW
Ritonavir,Lamotrigine,None,None,None,P-glycoprotein (P-gp),None,0,0.1406,LOW
Clevidipine,Telmisartan,CYP3A4,None,None,None,Dizziness,1,0.5442,HIGH
Trandolapril,Rizatriptan,None,None,None,None,None,0,0.0579,LOW
Carvedilol,Etodolac,None,None,None,None,None,0,0.0745,LOW
Gliclazide,Fluconazole,None,None,None,None,None,0,0.0388,LOW
Clonazepam,Risperidone,CYP3A4,None,None,P-glycoprotein (P-gp),Sedation,1,0.6045,HIGH
Paroxetine,Itraconazole,None,None,None,P-glycoprotein (P-gp),Nausea,0,0.2145,LOW
Delafloxacin,Ritonavir,None,None,None,None,None,0,0.0794,LOW
Nisoldipine,Tolbutamide,None,None,None,None,None,0,0.0691,LOW
Nifedipine,Lixisenatide,None,None,None,None,None,0,0.0535,LOW
Perindopril,Zonisamide,None,None,None,None,None,0,0.0121,LOW
Oxcarbazepine,Chlorthalidone,None,None,None,None,None,0,0.0794,LOW
Alendronate,Methylprednisolone,None,None,None,None,None,0,0.0323,LOW
Pantoprazole,Midazolam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5618,HIGH
Captopril,Olmesartan,None,None,Renin-angiotensin-aldosterone system (RAAS),None,Hyperkalemia;Hypotension,1,0.3886,MEDIUM
Metformin,Dexamethasone,None,None,None,None,None,0,0.0557,LOW
Saquinavir,Amitriptyline,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Rivaroxaban,Pamidronate,None,None,None,None,None,0,0.0537,LOW
Naratriptan,Ritonavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Levalbuterol,Paliperidone,None,None,None,None,None,0,0.0426,LOW
Alfuzosin,Imipramine,CYP2D6,None,None,P-glycoprotein (P-gp),Orthostatic hypotension,1,0.6768,HIGH
Pantoprazole,Edoxaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4794,MEDIUM
Etodolac,Zonisamide,CYP2C9,None,None,None,None,1,0.3948,MEDIUM
Warfarin,Formoterol,None,None,None,None,None,0,0.0676,LOW
Piroxicam,Ibandronate,None,None,None,None,None,0,0.0476,LOW
Ciprofloxacin,Olmesartan,None,None,None,None,None,0,0.0718,LOW
Glyburide,Pamidronate,None,None,None,None,None,0,0.0486,LOW
Ketoconazole,Nizatidine,None,None,None,None,None,0,0.0387,LOW
Losartan,Indacaterol,None,None,None,None,None,0,0.0635,LOW
Risedronate,Triazolam,None,None,None,None,None,0,0.0355,LOW
Sumatriptan,Amitriptyline,CYP1A2,None,None,P-glycoprotein (P-gp),None,1,0.4792,MEDIUM
Verapamil,Quetiapine,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5137,HIGH
Ranitidine,Clomipramine,None,None,None,None,None,0,0.04,LOW
Tipranavir,Lurasidone,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Glipizide,Chlordiazepoxide,None,None,None,None,None,0,0.0783,LOW
Esmolol,Prednisone,None,None,None,P-glycoprotein (P-gp),None,1,0.1412,LOW
Telithromycin,Ranitidine,None,None,None,None,None,0,0.0768,LOW
Ibuprofen,Celecoxib,CYP2C9;CYP2C8,Cyclooxygenase-2 (COX-2);Cyclooxygenase-1 (COX-1),Arachidonic acid metabolism / Prostaglandin synthesis,OAT1;OAT3,Fluid retention;Gastric ulceration;Cardiovascular risk;Nephrotoxicity,1,0.984,CRITICAL
Quinapril,Temazepam,None,None,None,None,None,0,0.0772,LOW
Simvastatin,Chlordiazepoxide,CYP3A4,None,None,None,None,1,0.4261,MEDIUM
Esmolol,Fluconazole,None,None,None,P-glycoprotein (P-gp),None,1,0.1039,LOW
Dexlansoprazole,Losartan,CYP3A4,None,None,None,None,1,0.3613,MEDIUM
Esomeprazole,Clonazepam,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5064,HIGH
Nisoldipine,Fluoxetine,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Erythromycin,Dexamethasone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Propranolol,Warfarin,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Citalopram,Carbamazepine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.5184,HIGH
Itraconazole,Eletriptan,None,None,None,P-glycoprotein (P-gp),None,0,0.1258,LOW
Quinapril,Triamcinolone,None,None,None,None,None,0,0.0431,LOW
Trandolapril,Hydrochlorothiazide,None,None,None,None,None,0,0.0184,LOW
Simvastatin,Sertraline,None,None,None,None,None,0,0.0218,LOW
Timolol,Irbesartan,None,None,None,None,None,0,0.0426,LOW
Fluoxetine,Tipranavir,None,None,None,P-glycoprotein (P-gp),None,1,0.1201,LOW
Rivaroxaban,Lamotrigine,CYP2C9;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5852,HIGH
Verapamil,Temazepam,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4718,MEDIUM
Chlorpropamide,Dexamethasone,None,None,None,None,Weight gain,0,0.1609,LOW
Formoterol,Lixisenatide,None,None,None,None,None,0,0.0649,LOW
Lansoprazole,Sitagliptin,None,None,None,P-glycoprotein (P-gp),Headache,1,0.2511,MEDIUM
Canagliflozin,Risperidone,None,None,None,P-glycoprotein (P-gp),None,1,0.1,LOW
Bisoprolol,Celecoxib,None,None,None,None,None,0,0.0178,LOW
Rabeprazole,Fluvoxamine,CYP2C19,None,None,P-glycoprotein (P-gp),None,1,0.4885,MEDIUM
Clevidipine,Fidaxomicin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Eletriptan,Lixisenatide,None,None,None,None,None,0,0.0183,LOW
Moxifloxacin,Chlordiazepoxide,None,None,None,None,None,0,0.0704,LOW
Eprosartan,Vilanterol,None,None,None,None,None,0,0.0437,LOW
Fidaxomicin,Darunavir,None,None,None,P-glycoprotein (P-gp),Hepatotoxicity,1,0.2882,MEDIUM
Quetiapine,Dulaglutide,None,None,None,None,None,0,0.0581,LOW
Edoxaban,Brexpiprazole,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4689,MEDIUM
Indomethacin,Ibandronate,None,None,None,None,None,0,0.0407,LOW
Ibuprofen,Fondaparinux,CYP2C9,None,None,None,None,1,0.3734,MEDIUM
Ibandronate,Brexpiprazole,None,None,None,None,None,0,0.0605,LOW
Quinapril,Oxcarbazepine,None,None,None,None,None,0,0.0429,LOW
